ID,Type,Recommendation
1,Playa,"Usa bloqueador solar para proteger tu piel de los rayos UV."
2,Playa,"Lleva un sombrero o gorra para evitar insolaciones."
3,Playa,"Mantente hidratado, especialmente en días calurosos."
4,Montaña,"Lleva ropa abrigadora, las noches pueden ser frías."
5,Montaña,"Usa calzado cómodo y antiderrapante para senderismo."
6,Montaña,"No olvides una mochila con agua y snacks energéticos."
7,Bosque,"Protege tu piel con repelente de insectos."
8,Bosque,"Lleva una cámara para capturar la belleza natural."
9,Bosque,"Usa ropa cómoda y en capas para ajustarte a los cambios de temperatura."
10,Ciudad,"Explora la gastronomía local en restaurantes tradicionales."
11,Ciudad,"Usa calzado cómodo para caminar por calles y plazas."
12,Ciudad,"Investiga sobre la historia y cultura del lugar antes de visitar."
13,Desierto,"Lleva suficiente agua para mantenerte hidratado."
14,Desierto,"Protege tu cabeza del sol con un pañuelo o sombrero."
15,Desierto,"Evita caminar durante las horas más calurosas del día."
16,Selva,"Usa repelente de insectos y ropa de manga larga."
17,Selva,"Lleva un impermeable, las lluvias pueden ser frecuentes."
18,Selva,"Contrata un guía local para explorar de manera segura."
19,Laguna,"Disfruta de actividades acuáticas como kayak o paddleboard."
20,Laguna,"Protege tus pertenencias con bolsas impermeables."
21,Laguna,"No olvides tu cámara subacuática para capturar la vida acuática."
22,Isla,"Explora los arrecifes de coral con snorkel o buceo."
23,Isla,"Lleva efectivo, algunos lugares pueden no aceptar tarjetas."
24,Isla,"Respeta la flora y fauna local, no dejes basura."
25,Pueblo,"Conoce las tradiciones locales y participa en festivales."
26,Pueblo,"Prueba la comida típica en mercados locales."
27,Pueblo,"Camina por las calles empedradas y descubre su encanto."
28,Arqueológico,"Contrata un guía para aprender sobre la historia del sitio."
29,Arqueológico,"Lleva agua y sombrero, muchos sitios no tienen sombra."
30,Arqueológico,"Respeta las zonas restringidas y no toques las estructuras."
31,Parque,"Disfruta de actividades al aire libre como picnic o senderismo."
32,Parque,"Lleva binoculares para observar la fauna local."
33,Parque,"No dejes basura, mantén el lugar limpio."
34,Gruta,"Usa calzado antiderrapante, el suelo puede estar resbaloso."
35,Gruta,"Lleva una linterna para explorar áreas oscuras."
36,Gruta,"No toques las formaciones rocosas, son delicadas."
37,Volcán,"Lleva ropa térmica, las temperaturas pueden ser extremas."
38,Volcán,"Contrata un guía certificado para ascender de manera segura."
39,Volcán,"No te acerques a las fumarolas o zonas peligrosas."
40,Cenote,"Disfruta de un baño refrescante en aguas cristalinas."
41,Cenote,"Lleva traje de baño y toalla."
42,Cenote,"No uses protector solar, daña el ecosistema acuático."
43,Cascada,"Lleva ropa cómoda y zapatos para mojar."
44,Cascada,"Disfruta de un baño bajo la cascada, pero ten cuidado con las corrientes."
45,Cascada,"No dejes basura, protege el entorno natural."
